wn-kotlerman-path.ans	0.355
wn-kotlerman-path.ans	0.715
wn-kotlerman-lin.ans	0.355
wn-kotlerman-lin.ans	0.712
wn-kotlerman-res.ans	0.337
wn-kotlerman-res.ans	0.707
wn-kotlerman-wup.ans	0.324
wn-kotlerman-wup.ans	0.704
wn-kotlerman-lch.ans	0.354
wn-kotlerman-lch.ans	0.743
wn-kotlerman-jcn.ans	0.380
wn-kotlerman-jcn.ans	0.769
wn-oren-path.ans	0.284
wn-oren-path.ans	0.788
wn-oren-lin.ans	0.300
wn-oren-lin.ans	0.767
wn-oren-res.ans	0.294
wn-oren-res.ans	0.767
wn-oren-wup.ans	0.302
wn-oren-wup.ans	0.782
wn-oren-lch.ans	0.284
wn-oren-lch.ans	0.788
wn-oren-jcn.ans	0.360
wn-oren-jcn.ans	0.814
wn-turney-path.ans	0.515
wn-turney-path.ans	0.515
wn-turney-lin.ans	0.523
wn-turney-lin.ans	0.500
wn-turney-res.ans	0.518
wn-turney-res.ans	0.500
wn-turney-wup.ans	0.516
wn-turney-wup.ans	0.514
wn-turney-lch.ans	0.529
wn-turney-lch.ans	0.563
wn-turney-jcn.ans	0.540
wn-turney-jcn.ans	0.567
wn-baroni-path.ans	0.750
wn-baroni-path.ans	0.866
wn-baroni-lin.ans	0.614
wn-baroni-lin.ans	0.587
wn-baroni-res.ans	0.637
wn-baroni-res.ans	0.595
wn-baroni-wup.ans	0.599
wn-baroni-wup.ans	0.531
wn-baroni-lch.ans	0.631
wn-baroni-lch.ans	0.615
wn-baroni-jcn.ans	0.589
wn-baroni-jcn.ans	0.548
